Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.21 0.09,0.21 0.18,0.15 0.19,0.11 0.32,0.14 0.38,0.28 0.18,0.31 0.32,0.31 0.46,0.17 0.41,0.18 0.66,0.19 0.83,0.25 0.42,0.25 0.65,0.27 0.84,0.20 0.08,0.22 0.08,0.18 0.09,0.25 0.09
0.22 0.09,0.22 0.18,0.15 0.19,0.12 0.32,0.12 0.47,0.28 0.18,0.31 0.33,0.31 0.46,0.17 0.42,0.18 0.67,0.18 0.83,0.25 0.42,0.26 0.65,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.22 0.09,0.22 0.18,0.15 0.19,0.12 0.33,0.12 0.48,0.28 0.18,0.31 0.33,0.31 0.46,0.18 0.42,0.18 0.66,0.19 0.83,0.25 0.42,0.26 0.66,0.27 0.84,0.20 0.08,0.23 0.08,0.19 0.09,0.25 0.09
0.22 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.48,0.28 0.18,0.31 0.32,0.31 0.45,0.17 0.42,0.18 0.66,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.19 0.09,0.25 0.09
0.22 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.28 0.18,0.30 0.32,0.31 0.43,0.18 0.43,0.18 0.67,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.84,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.30,0.31 0.43,0.18 0.43,0.18 0.66,0.19 0.83,0.25 0.42,0.26 0.67,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.32,0.12 0.47,0.27 0.18,0.30 0.31,0.30 0.45,0.17 0.43,0.18 0.67,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.31,0.31 0.43,0.17 0.43,0.18 0.66,0.18 0.83,0.25 0.43,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.31,0.31 0.43,0.18 0.43,0.18 0.66,0.19 0.83,0.25 0.43,0.26 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.32,0.12 0.47,0.27 0.18,0.30 0.30,0.31 0.43,0.17 0.43,0.19 0.67,0.19 0.83,0.25 0.43,0.25 0.67,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.31 0.31,0.31 0.45,0.17 0.43,0.18 0.66,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.30,0.31 0.44,0.17 0.43,0.18 0.67,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.30,0.31 0.44,0.17 0.43,0.18 0.67,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.31,0.31 0.45,0.17 0.43,0.18 0.67,0.19 0.82,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.19,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.31,0.31 0.44,0.17 0.42,0.18 0.67,0.18 0.83,0.24 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.33,0.12 0.47,0.27 0.18,0.30 0.31,0.30 0.45,0.17 0.43,0.18 0.67,0.19 0.83,0.25 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.19,0.15 0.19,0.12 0.33,0.12 0.47,0.28 0.18,0.30 0.32,0.30 0.45,0.18 0.43,0.18 0.67,0.18 0.83,0.25 0.43,0.25 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.19,0.14 0.19,0.12 0.32,0.13 0.41,0.27 0.18,0.31 0.30,0.34 0.38,0.18 0.44,0.18 0.66,0.18 0.83,0.25 0.44,0.26 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.14 0.19,0.10 0.33,0.12 0.41,0.27 0.18,0.32 0.31,0.33 0.41,0.18 0.43,0.18 0.66,0.18 0.83,0.25 0.43,0.25 0.65,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.24 0.09
0.21 0.09,0.21 0.18,0.14 0.19,0.11 0.32,0.12 0.39,0.27 0.18,0.31 0.32,0.32 0.41,0.17 0.43,0.18 0.66,0.18 0.83,0.24 0.43,0.26 0.66,0.27 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.14 0.18,0.10 0.32,0.12 0.39,0.27 0.18,0.29 0.30,0.31 0.40,0.16 0.43,0.17 0.66,0.18 0.83,0.24 0.42,0.25 0.66,0.27 0.84,0.20 0.08,0.22 0.08,0.18 0.09,0.24 0.09
0.19 0.09,0.18 0.17,0.12 0.17,0.09 0.29,0.10 0.65,0.24 0.18,0.24 0.31,0.27 0.44,0.13 0.42,0.15 0.67,0.15 0.84,0.21 0.42,0.22 0.66,0.21 0.83,0.17 0.08,0.19 0.08,0.15 0.09,0.21 0.09
0.23 0.09,0.23 0.19,0.16 0.18,0.13 0.29,0.14 0.39,0.29 0.19,0.32 0.32,0.33 0.46,0.17 0.41,0.22 0.65,0.22 0.81,0.26 0.42,0.26 0.66,0.27 0.83,0.22 0.08,0.25 0.08,0.19 0.09,0.26 0.09
0.23 0.09,0.23 0.18,0.16 0.18,0.13 0.31,0.13 0.41,0.29 0.19,0.32 0.32,0.33 0.46,0.18 0.41,0.18 0.65,0.19 0.82,0.26 0.42,0.26 0.66,0.27 0.83,0.22 0.08,0.25 0.08,0.19 0.09,0.26 0.09
0.23 0.09,0.23 0.18,0.16 0.18,0.13 0.33,0.13 0.46,0.29 0.19,0.32 0.32,0.33 0.46,0.19 0.42,0.19 0.65,0.20 0.82,0.26 0.42,0.26 0.65,0.27 0.83,0.22 0.08,0.25 0.08,0.20 0.09,0.26 0.09
0.23 0.09,0.23 0.18,0.17 0.18,0.13 0.32,0.14 0.42,0.29 0.18,0.32 0.30,0.33 0.42,0.19 0.42,0.19 0.64,0.19 0.82,0.26 0.42,0.27 0.65,0.27 0.82,0.22 0.08,0.25 0.08,0.19 0.09,0.26 0.09
0.23 0.09,0.23 0.18,0.16 0.18,0.13 0.30,0.13 0.37,0.29 0.18,0.32 0.31,0.31 0.38,0.18 0.43,0.19 0.65,0.19 0.82,0.25 0.43,0.26 0.65,0.27 0.82,0.22 0.08,0.24 0.08,0.19 0.09,0.26 0.09
0.22 0.09,0.22 0.18,0.16 0.19,0.12 0.31,0.12 0.43,0.28 0.18,0.31 0.32,0.32 0.42,0.18 0.43,0.18 0.65,0.19 0.82,0.25 0.43,0.26 0.64,0.27 0.82,0.21 0.08,0.23 0.08,0.19 0.09,0.25 0.09
0.22 0.10,0.22 0.18,0.15 0.19,0.12 0.32,0.12 0.46,0.28 0.18,0.31 0.31,0.32 0.43,0.17 0.43,0.17 0.65,0.18 0.82,0.25 0.43,0.26 0.65,0.27 0.82,0.20 0.09,0.23 0.08,0.18 0.10,0.25 0.09
0.21 0.10,0.21 0.19,0.15 0.20,0.12 0.33,0.12 0.46,0.27 0.19,0.30 0.32,0.31 0.43,0.17 0.44,0.17 0.65,0.18 0.83,0.25 0.43,0.26 0.66,0.27 0.83,0.20 0.09,0.22 0.09,0.18 0.10,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.12 0.32,0.12 0.41,0.27 0.18,0.30 0.30,0.29 0.41,0.17 0.44,0.17 0.65,0.18 0.82,0.24 0.44,0.25 0.64,0.26 0.83,0.20 0.08,0.23 0.08,0.18 0.09,0.25 0.09
0.21 0.09,0.21 0.18,0.15 0.19,0.13 0.30,0.14 0.39,0.27 0.18,0.30 0.30,0.30 0.39,0.17 0.43,0.17 0.65,0.18 0.82,0.25 0.43,0.25 0.66,0.27 0.83,0.20 0.08,0.22 0.08,0.18 0.09,0.24 0.09
0.21 0.09,0.21 0.18,0.14 0.18,0.12 0.32,0.12 0.44,0.27 0.18,0.30 0.32,0.31 0.42,0.16 0.42,0.17 0.65,0.17 0.82,0.24 0.41,0.25 0.66,0.27 0.83,0.20 0.08,0.22 0.08,0.18 0.09,0.24 0.09
0.21 0.09,0.20 0.18,0.14 0.19,0.12 0.32,0.11 0.46,0.27 0.18,0.30 0.36,0.30 0.46,0.17 0.43,0.17 0.65,0.18 0.83,0.24 0.43,0.25 0.66,0.27 0.83,0.19 0.08,0.22 0.08,0.17 0.09,0.24 0.09
0.21 0.09,0.20 0.19,0.14 0.19,0.12 0.32,0.11 0.46,0.27 0.18,0.29 0.32,0.30 0.43,0.17 0.43,0.17 0.65,0.18 0.82,0.25 0.42,0.26 0.67,0.27 0.83,0.19 0.08,0.22 0.08,0.18 0.09,0.24 0.09
0.21 0.09,0.21 0.19,0.14 0.19,0.12 0.32,0.15 0.40,0.27 0.18,0.29 0.32,0.28 0.38,0.17 0.44,0.17 0.65,0.18 0.82,0.25 0.43,0.25 0.65,0.27 0.83,0.20 0.08,0.22 0.08,0.18 0.09,0.24 0.09
0.21 0.08,0.21 0.18,0.14 0.18,0.12 0.30,0.14 0.35,0.27 0.18,0.30 0.32,0.26 0.38,0.16 0.44,0.17 0.65,0.18 0.82,0.25 0.43,0.26 0.65,0.27 0.83,0.20 0.08,0.22 0.07,0.18 0.09,0.24 0.08
0.21 0.08,0.20 0.18,0.14 0.18,0.12 0.30,0.14 0.36,0.27 0.18,0.29 0.30,0.30 0.42,0.16 0.42,0.17 0.65,0.18 0.83,0.24 0.42,0.25 0.66,0.27 0.83,0.20 0.08,0.22 0.07,0.18 0.09,0.24 0.09
0.21 0.09,0.20 0.18,0.14 0.19,0.11 0.32,0.11 0.46,0.27 0.18,0.29 0.32,0.30 0.46,0.16 0.44,0.17 0.65,0.17 0.82,0.24 0.43,0.25 0.66,0.27 0.83,0.20 0.08,0.22 0.07,0.18 0.09,0.24 0.08
0.21 0.08,0.21 0.18,0.14 0.19,0.12 0.32,0.11 0.45,0.27 0.18,0.29 0.30,0.30 0.41,0.16 0.42,0.17 0.64,0.18 0.82,0.24 0.41,0.25 0.65,0.27 0.83,0.20 0.08,0.22 0.07,0.18 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.19,0.12 0.33,0.15 0.40,0.27 0.18,0.30 0.31,0.29 0.41,0.16 0.45,0.17 0.65,0.18 0.82,0.24 0.45,0.25 0.65,0.27 0.83,0.20 0.08,0.22 0.07,0.18 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.12 0.33,0.16 0.35,0.27 0.18,0.30 0.31,0.26 0.34,0.16 0.44,0.17 0.65,0.18 0.82,0.25 0.42,0.25 0.65,0.27 0.83,0.19 0.08,0.22 0.08,0.17 0.09,0.24 0.08
0.20 0.09,0.20 0.18,0.14 0.19,0.12 0.32,0.14 0.38,0.27 0.18,0.29 0.30,0.29 0.42,0.16 0.43,0.17 0.66,0.18 0.82,0.25 0.43,0.25 0.66,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.12 0.32,0.13 0.39,0.27 0.18,0.29 0.32,0.30 0.45,0.16 0.42,0.18 0.65,0.18 0.82,0.24 0.42,0.25 0.66,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.11 0.31,0.12 0.40,0.26 0.18,0.29 0.30,0.31 0.41,0.17 0.43,0.17 0.65,0.18 0.82,0.24 0.42,0.25 0.66,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.12 0.32,0.14 0.39,0.26 0.18,0.29 0.30,0.28 0.41,0.16 0.45,0.17 0.66,0.18 0.82,0.24 0.45,0.25 0.65,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.12 0.35,0.18 0.36,0.27 0.18,0.29 0.30,0.28 0.33,0.16 0.45,0.17 0.65,0.18 0.82,0.25 0.43,0.25 0.65,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.12 0.33,0.14 0.36,0.26 0.18,0.30 0.32,0.26 0.38,0.16 0.45,0.17 0.66,0.18 0.83,0.24 0.44,0.25 0.65,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.21 0.09,0.20 0.18,0.14 0.18,0.11 0.32,0.12 0.40,0.26 0.18,0.30 0.33,0.31 0.45,0.16 0.43,0.17 0.65,0.18 0.82,0.24 0.42,0.25 0.66,0.27 0.82,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.20 0.09,0.20 0.18,0.14 0.18,0.11 0.32,0.12 0.39,0.26 0.18,0.29 0.30,0.30 0.45,0.16 0.42,0.17 0.65,0.18 0.82,0.23 0.42,0.25 0.65,0.27 0.82,0.19 0.07,0.22 0.07,0.17 0.09,0.24 0.08
0.20 0.09,0.20 0.18,0.14 0.18,0.11 0.32,0.13 0.39,0.27 0.18,0.30 0.30,0.29 0.34,0.16 0.44,0.17 0.65,0.18 0.82,0.25 0.42,0.25 0.65,0.27 0.82,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.20 0.09,0.20 0.18,0.14 0.18,0.11 0.34,0.17 0.35,0.27 0.18,0.30 0.30,0.26 0.34,0.16 0.44,0.17 0.65,0.18 0.82,0.25 0.43,0.25 0.66,0.27 0.83,0.19 0.08,0.22 0.07,0.17 0.09,0.24 0.08
0.20 0.09,0.20 0.18,0.14 0.18,0.11 0.32,0.14 0.39,0.27 0.18,0.29 0.30,0.27 0.41,0.16 0.43,0.17 0.65,0.18 0.82,0.24 0.42,0.25 0.65,0.27 0.83,0.19 0.08,0.21 0.07,0.17 0.09,0.23 0.08
0.20 0.09,0.20 0.18,0.13 0.18,0.10 0.32,0.12 0.40,0.26 0.18,0.28 0.32,0.29 0.46,0.16 0.44,0.16 0.66,0.18 0.82,0.24 0.42,0.25 0.65,0.27 0.83,0.19 0.08,0.21 0.07,0.17 0.09,0.23 0.08
0.19 0.09,0.19 0.18,0.13 0.18,0.10 0.30,0.12 0.40,0.25 0.18,0.28 0.33,0.29 0.46,0.15 0.43,0.16 0.66,0.17 0.82,0.23 0.43,0.25 0.65,0.27 0.83,0.18 0.08,0.21 0.08,0.16 0.09,0.22 0.08
0.19 0.09,0.19 0.18,0.12 0.18,0.09 0.32,0.12 0.39,0.25 0.18,0.27 0.33,0.24 0.37,0.14 0.46,0.16 0.66,0.18 0.82,0.23 0.45,0.25 0.65,0.27 0.83,0.17 0.08,0.20 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.19 0.18,0.12 0.18,0.10 0.33,0.11 0.64,0.25 0.18,0.28 0.33,0.23 0.35,0.14 0.46,0.16 0.67,0.18 0.82,0.22 0.43,0.25 0.65,0.27 0.83,0.17 0.08,0.20 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.18 0.19,0.12 0.19,0.10 0.34,0.12 0.42,0.25 0.19,0.27 0.35,0.26 0.43,0.14 0.46,0.16 0.67,0.17 0.83,0.23 0.44,0.25 0.66,0.27 0.83,0.17 0.08,0.19 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.18 0.18,0.12 0.19,0.08 0.34,0.11 0.47,0.25 0.18,0.27 0.33,0.29 0.44,0.14 0.45,0.16 0.66,0.17 0.83,0.22 0.43,0.25 0.65,0.27 0.83,0.17 0.08,0.19 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.19 0.18,0.12 0.19,0.09 0.34,0.12 0.45,0.25 0.18,0.27 0.34,0.24 0.39,0.14 0.46,0.16 0.66,0.17 0.83,0.22 0.43,0.25 0.65,0.27 0.83,0.17 0.08,0.20 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.18 0.19,0.12 0.20,0.09 0.35,0.12 0.39,0.25 0.19,0.27 0.34,0.28 0.45,0.14 0.44,0.16 0.66,0.17 0.83,0.22 0.42,0.25 0.65,0.27 0.83,0.17 0.08,0.19 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.18 0.18,0.12 0.19,0.09 0.33,0.12 0.40,0.25 0.18,0.27 0.33,0.26 0.39,0.14 0.44,0.16 0.66,0.17 0.83,0.22 0.43,0.25 0.65,0.27 0.83,0.17 0.08,0.20 0.08,0.15 0.09,0.22 0.09
0.19 0.09,0.18 0.18,0.12 0.19,0.09 0.33,0.11 0.42,0.25 0.18,0.28 0.33,0.25 0.39,0.14 0.44,0.16 0.65,0.17 0.83,0.22 0.43,0.25 0.65,0.27 0.83,0.18 0.08,0.20 0.08,0.15 0.09,0.22 0.09
0.19 0.09,0.18 0.19,0.12 0.20,0.09 0.34,0.11 0.40,0.25 0.19,0.28 0.33,0.27 0.45,0.14 0.44,0.16 0.65,0.17 0.83,0.22 0.43,0.25 0.65,0.27 0.83,0.17 0.08,0.19 0.08,0.15 0.09,0.21 0.08
0.19 0.09,0.19 0.18,0.12 0.19,0.11 0.32,0.12 0.39,0.25 0.18,0.28 0.33,0.27 0.39,0.14 0.43,0.16 0.65,0.17 0.82,0.23 0.43,0.25 0.65,0.27 0.83,0.18 0.08,0.20 0.08,0.15 0.09,0.22 0.08
