Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.56 0.23,0.57 0.32,0.51 0.32,0.50 0.43,0.48 0.54,0.63 0.32,0.66 0.44,0.68 0.54,0.54 0.55,0.53 0.71,0.55 0.83,0.61 0.55,0.62 0.71,0.64 0.84,0.56 0.22,0.57 0.22,0.55 0.22,0.59 0.22
0.56 0.22,0.57 0.32,0.51 0.31,0.49 0.43,0.47 0.54,0.63 0.32,0.66 0.43,0.68 0.54,0.53 0.55,0.53 0.71,0.53 0.88,0.61 0.54,0.62 0.71,0.65 0.88,0.56 0.21,0.57 0.21,0.54 0.22,0.60 0.21
0.57 0.22,0.58 0.32,0.53 0.32,0.50 0.43,0.47 0.54,0.64 0.32,0.67 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.63 0.71,0.65 0.89,0.56 0.21,0.58 0.21,0.55 0.22,0.61 0.21
0.57 0.22,0.58 0.31,0.53 0.31,0.50 0.43,0.47 0.54,0.64 0.32,0.67 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.62 0.72,0.65 0.88,0.56 0.21,0.59 0.21,0.56 0.21,0.61 0.21
0.57 0.22,0.58 0.32,0.52 0.31,0.50 0.43,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.86,0.62 0.55,0.62 0.72,0.65 0.88,0.56 0.21,0.58 0.21,0.55 0.21,0.61 0.21
0.57 0.22,0.58 0.32,0.52 0.32,0.50 0.43,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.62 0.71,0.65 0.88,0.56 0.21,0.58 0.21,0.55 0.22,0.61 0.21
0.57 0.22,0.58 0.32,0.52 0.32,0.50 0.43,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.62 0.71,0.65 0.88,0.56 0.21,0.58 0.21,0.55 0.22,0.61 0.21
0.57 0.22,0.58 0.32,0.52 0.32,0.50 0.43,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.62 0.72,0.65 0.89,0.56 0.21,0.58 0.21,0.55 0.22,0.60 0.21
0.57 0.22,0.58 0.32,0.52 0.32,0.50 0.43,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.86,0.62 0.55,0.62 0.72,0.65 0.88,0.56 0.21,0.58 0.21,0.55 0.22,0.61 0.21
0.57 0.22,0.58 0.32,0.52 0.32,0.50 0.43,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.53 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.62 0.71,0.65 0.88,0.56 0.21,0.58 0.21,0.55 0.22,0.60 0.22
0.57 0.22,0.58 0.32,0.52 0.32,0.50 0.44,0.47 0.54,0.64 0.32,0.66 0.43,0.69 0.54,0.54 0.55,0.53 0.71,0.52 0.87,0.62 0.55,0.62 0.71,0.65 0.88,0.56 0.21,0.58 0.21,0.55 0.22,0.61 0.21
