Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.47 0.30,0.48 0.38,0.43 0.38,0.41 0.48,0.41 0.59,0.53 0.38,0.56 0.48,0.55 0.60,0.45 0.60,0.44 0.76,0.44 0.90,0.51 0.60,0.52 0.76,0.54 0.89,0.46 0.29,0.48 0.29,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.43 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.48,0.56 0.60,0.45 0.60,0.44 0.76,0.43 0.90,0.52 0.60,0.53 0.77,0.54 0.90,0.46 0.28,0.49 0.28,0.45 0.29,0.50 0.28
0.47 0.29,0.48 0.38,0.43 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.76,0.43 0.90,0.52 0.61,0.53 0.77,0.54 0.90,0.46 0.28,0.49 0.28,0.45 0.29,0.50 0.29
0.48 0.29,0.48 0.38,0.43 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.45 0.60,0.44 0.76,0.43 0.90,0.52 0.61,0.53 0.77,0.54 0.90,0.46 0.28,0.49 0.28,0.45 0.29,0.50 0.28
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.61,0.53 0.77,0.55 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.61,0.53 0.77,0.54 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.60,0.53 0.77,0.54 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.61,0.53 0.77,0.55 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.60,0.53 0.77,0.55 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.60,0.53 0.77,0.55 0.90,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.61,0.53 0.77,0.54 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.60,0.53 0.77,0.54 0.91,0.46 0.28,0.49 0.28,0.45 0.29,0.50 0.29
0.47 0.29,0.48 0.38,0.42 0.38,0.41 0.49,0.41 0.59,0.54 0.38,0.56 0.49,0.56 0.60,0.44 0.60,0.44 0.77,0.43 0.91,0.51 0.60,0.53 0.77,0.54 0.91,0.46 0.28,0.48 0.28,0.45 0.29,0.50 0.29
